city,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Date,Country
airai,-8.9266,125.4092,76.06,34,89,4.88,1627441325,TL
kapiri mposhi,-13.9652,28.6809,45.61,69,62,6.24,1627441577,ZM
kulu,39.0951,33.0799,64.02,48,0,8.37,1627441578,TR
tezu,27.9167,96.1667,91.45,54,65,2.68,1627441578,IN
saint-maximin-la-sainte-baume,43.4521,5.8622,69.46,68,79,2.66,1627441578,FR
invermere,50.5167,-116.0354,79.84,28,100,2.24,1627441465,CA
baykit,61.67,96.37,71.94,73,100,4.88,1627441579,RU
codrington,-38.2667,141.9667,50.61,81,94,23.96,1627441555,AU
prince rupert,54.3161,-130.3201,59.63,76,100,2.8,1627441579,CA
sobolevo,54.4299,31.8996,62.71,97,100,7.74,1627441579,RU
la palma,33.8464,-118.0467,90.01,73,1,3,1627441580,US
luau,-10.7073,22.2247,53.28,45,99,3.56,1627441456,AO
belmonte,-15.8631,-38.8828,70.3,86,5,7.65,1627441580,BR
amahai,-3.3333,128.9167,82.49,78,81,5.19,1627441580,ID
karema,-6.8205,30.4389,65.34,48,12,8.79,1627441581,TZ
puerto colombia,10.9878,-74.9547,77.09,85,98,4.27,1627441581,CO
sao jose da coroa grande,-8.8978,-35.1478,73.8,88,2,7.09,1627441581,BR
butembo,0.15,29.2833,58.14,86,82,1.12,1627441582,CD
berbera,10.4396,45.0143,86.61,46,96,26.71,1627441582,SO
zhigansk,66.7697,123.3711,64.27,52,58,9.15,1627441582,RU
zaysan,47.4667,84.8667,71.2,30,0,8.99,1627441582,KZ
turgoyak,55.15,60.1183,56.84,74,60,2.91,1627441583,RU
gazanjyk,39.2446,55.5154,91.08,17,30,6.73,1627441583,TM
wakkanai,45.4094,141.6739,75.83,82,6,3.91,1627441583,JP
santa rosa,14.3122,121.1114,81.91,90,100,18.99,1627441307,PH
bundaberg,-24.85,152.35,73.69,49,40,16.11,1627441584,AU
gannan,47.9147,123.5031,78.57,66,63,8.1,1627441584,CN
te anau,-45.4167,167.7167,52.32,70,93,3,1627441584,NZ
petropavl,54.8753,69.1628,62.58,72,40,8.95,1627441585,KZ
tashir,41.1207,44.2846,60.94,90,49,2.95,1627441585,AM
pathein,16.7833,94.7333,84.27,80,99,14.74,1627441410,MM
suleja,9.1758,7.1808,68.97,94,100,2.53,1627441585,NG
alzamay,55.5562,98.6644,65.14,97,100,6.08,1627441585,RU
bakel,14.905,-12.4568,85.17,66,100,17.98,1627441586,SN
mehran,33.1222,46.1646,96.75,18,0,16.71,1627441586,IR
volchikha,52.0333,80.3833,65.39,44,59,6.11,1627441586,RU
kulunda,52.566,78.9385,63.68,49,99,3.74,1627441587,RU
sisimiut,66.9395,-53.6735,49.62,73,58,3.74,1627441447,GL
yantzaza,-3.8278,-78.7594,66.16,98,64,0.6,1627441289,EC
morrope,-6.5417,-80.0111,66.79,80,96,14.9,1627441587,PE
coihaique,-45.5752,-72.0662,35.55,80,0,4.61,1627441566,CL
sao filipe,14.8961,-24.4956,73.83,82,9,8.72,1627441581,CV
fort nelson,58.8053,-122.7002,56.26,93,98,4.88,1627441587,CA
littleton,39.6133,-105.0166,87.6,37,20,9.22,1627441588,US
concarneau,47.875,-3.9225,62.06,91,7,10.63,1627441588,FR
ca mau,9.1769,105.15,88.74,60,29,12.5,1627441340,VN
tigzirt,36.8886,4.1198,76.66,70,0,7.47,1627441588,DZ
kavaratti,10.5669,72.642,81.59,78,100,19.73,1627441589,IN
san patricio,28.017,-97.5169,84.85,68,20,7.65,1627441589,US
sistranda,63.7256,8.834,64.36,74,72,21.39,1627441539,NO
tamale,9.4008,-0.8393,72.52,92,100,4.9,1627441589,GH
pevek,69.7008,170.3133,38.44,86,97,9.69,1627441589,RU
milas,37.3164,27.7839,79.95,39,0,4.61,1627441590,TR
nador,35.174,-2.9287,73.65,88,75,2.3,1627441590,MA
oliver,49.1831,-119.5524,85.95,21,80,3.36,1627441590,CA
anju,39.6178,125.6647,89.74,62,96,0.83,1627441591,KP
luanda,-8.8368,13.2343,71.42,83,99,4.92,1627441309,AO
vila,42.0304,-8.1588,52.74,84,5,5.06,1627441591,PT
finschhafen,-6.6024,147.8681,83.73,72,83,11.34,1627441591,PG
takoradi,4.8845,-1.7554,74.64,86,98,8.86,1627441592,GH
verkhoyansk,67.5447,133.385,60.62,40,11,15.12,1627441592,RU
yei,4.095,30.6779,65.79,97,94,2.73,1627441592,SS
mapiripan,2.8892,-72.1256,73.8,95,100,0.94,1627441593,CO
muros,42.7762,-9.0603,64.99,83,17,8.48,1627441593,ES
khorixas,-20.3667,14.9667,56.35,31,0,8.14,1627441593,NA
maniitsoq,65.4167,-52.9,49.41,76,25,14.74,1627441593,GL
camana,-16.6228,-72.7111,60.33,85,87,8.1,1627441594,PE
paita,-5.0892,-81.1144,67.73,86,45,12.57,1627441594,PE
sola,-13.8833,167.55,78.91,80,39,21.79,1627441563,VU
srednekolymsk,67.45,153.6833,37.26,97,100,9.13,1627440761,RU
longyearbyen,78.2186,15.6401,42.49,98,100,0.78,1627441006,SJ
saint-louis,16.3333,-15,76.48,75,56,14.25,1627441594,SN
inuvik,68.3499,-133.7218,61.56,82,75,9.22,1627441580,CA
abnub,27.2696,31.1511,78.93,42,0,10,1627441595,EG
kapitanivka,48.9172,31.7167,67.98,57,28,7.83,1627441595,UA
yerbogachen,61.2767,108.0108,84.6,37,3,10.74,1627441595,RU
roald,62.5833,6.1333,64.9,94,90,3.44,1627441596,NO
barmer,25.75,71.3833,80.92,79,100,19.46,1627441448,IN
olafsvik,64.8945,-23.7142,50.97,89,97,14.14,1627441596,IS
caravelas,-17.7125,-39.2481,70.63,89,2,6.02,1627441586,BR
egvekinot,66.3167,-179.1667,39.74,90,100,11.77,1627441536,RU
erzin,36.9559,36.2,83.12,67,0,5.44,1627441597,TR
banganapalle,15.3167,78.2333,81.03,65,76,18.57,1627441597,IN
white rock,49.0164,-122.8026,75.69,77,3,5.26,1627441597,CA
cherskiy,68.75,161.3,38.23,75,100,18.63,1627441597,RU
santiago del estero,-27.7951,-64.2615,48.2,38,6,3.15,1627441306,AR
yerofey pavlovich,53.9667,121.9667,62.74,95,100,3.15,1627441598,RU
omboue,-1.5746,9.2618,72.21,85,35,4.61,1627441598,GA
carbonia,39.1672,8.5222,77.65,66,1,6.91,1627441598,IT
biak,-0.9131,122.8766,82.89,68,77,6.87,1627441599,ID
malanje,-9.5402,16.341,57.2,30,14,2.3,1627441599,AO
kachug,53.9606,105.8817,77.88,42,10,3.65,1627441599,RU
banda aceh,5.5577,95.3222,85.78,66,75,12.66,1627441599,ID
luderitz,-26.6481,15.1594,54.54,72,0,9.17,1627441600,NA
fez,34.0372,-4.9998,73.65,56,0,3.44,1627441506,MA
peremyshlyany,49.6652,24.5585,61.12,89,29,2.84,1627441600,UA
narrabri,-30.3167,149.7833,72.52,49,5,8.01,1627441600,AU
green river,41.5286,-109.4662,80.19,42,72,5.01,1627441601,US
mangaluru,12.8667,74.8833,79.66,89,40,0,1627441601,IN
vagur,61.4732,-6.8119,51.53,92,100,8.37,1627441601,FO
crucea,44.5333,28.2333,68.09,50,0,4.79,1627441601,RO
nemuro,43.3236,145.575,67.8,88,24,10.13,1627441482,JP
kaitangata,-46.2817,169.8464,51.08,66,68,1.03,1627441356,NZ
morondava,-20.2833,44.2833,64.35,61,0,12.46,1627441602,MG
samarai,-10.6167,150.6667,79.39,86,86,14.23,1627441505,PG
dwarka,22.2394,68.9678,82.63,84,100,25.57,1627441602,IN
byron bay,-28.65,153.6167,74.71,49,7,16.64,1627441521,AU
salmas,38.1973,44.7653,63.59,57,0,2.37,1627441603,IR
chapais,49.7834,-74.8492,50.9,64,82,4,1627441603,CA
betanzos,43.2804,-8.2147,66.67,87,90,3.44,1627441603,ES
douentza,14.9951,-2.9517,83.19,67,100,2.89,1627441603,ML
san lawrenz,36.0553,14.204,77.86,79,0,4.25,1627441604,MT
filingue,14.3521,3.3168,81.21,69,91,6.8,1627441604,NE
taoudenni,22.6783,-3.9836,97.29,12,58,8.41,1627441604,ML
bantou,26.2151,117.4893,93.96,52,2,5.32,1627441605,CN
jequie,-13.8575,-40.0836,63.95,98,7,2.15,1627441605,BR
tukrah,32.5341,20.5791,75.16,77,0,9.44,1627441605,LY
pangnirtung,66.1451,-65.7125,49.48,74,100,1.9,1627441606,CA
bengkulu,-3.8004,102.2655,82.89,63,66,4.32,1627441602,ID
kholm-zhirkovskiy,55.5189,33.4731,61.93,93,100,5.44,1627441606,RU
whitehorse,60.7161,-135.0538,61.02,63,98,11.01,1627441606,CA
dahuk,36.8695,42.994,85.64,21,0,3.31,1627441607,IQ
yeppoon,-23.1333,150.7333,76.78,57,72,9.55,1627441607,AU
kyren,51.6828,102.1408,73.54,66,28,4.03,1627441607,RU
jiaonan,35.8786,119.9753,81,80,100,17.31,1627441607,CN
kutum,14.2,24.6667,68.67,81,100,6.73,1627441608,SD
kempten,47.7267,10.3139,63.48,98,99,3.33,1627441608,DE
mackay,-21.15,149.2,79.68,60,80,4.94,1627441372,AU
awjilah,29.1081,21.2869,78.89,47,0,5.68,1627441608,LY
khatanga,71.9667,102.5,85.77,39,8,18.66,1627441567,RU
yakeshi,49.2833,120.7333,73.06,65,17,11.83,1627441609,CN
rudsar,37.1376,50.288,79.23,76,63,9.24,1627441609,IR
elko,41.0002,-115.5012,80.62,51,88,1.99,1627441609,US
banon,40.8382,-1.1909,67.14,94,16,4.61,1627441609,ES
pemba,-12.974,40.5178,65.1,94,40,9.22,1627441429,MZ
martapura,-3.4167,114.85,86.09,70,20,10.36,1627441610,ID
lebanon,36.2081,-86.2911,82.62,85,1,0,1627441573,US
batatais,-20.8911,-47.585,67.98,42,64,2.73,1627441610,BR
baoqing,46.3317,132.2111,102.49,28,9,2.71,1627441610,CN
ahipara,-35.1667,173.1667,59.94,78,64,8.28,1627441528,NZ
moussoro,13.6408,16.4901,76.73,83,100,9.17,1627441611,TD
yumen,40.2833,97.2,85.23,15,0,6.89,1627441611,CN
ngunguru,-35.6167,174.5,65.16,68,83,7.74,1627441611,NZ
pisco,-13.7,-76.2167,63.01,82,4,3.44,1627441509,PE
hambantota,6.1241,81.1185,82.74,83,100,4.61,1627441612,LK
marsh harbour,26.5412,-77.0636,83.35,75,40,7.81,1627441529,BS
sarab,38.6066,44.9883,72.9,54,0,8.05,1627441612,IR
ostrovnoy,68.0531,39.5131,48.52,89,100,10.25,1627441355,RU
norman wells,65.282,-126.8329,64.44,72,75,3.44,1627441612,CA
saint-philippe,-21.3585,55.7679,67.59,88,89,12.86,1627441613,RE
soria,41.6667,-2.6667,60.01,85,33,5.23,1627441613,ES
saskylakh,71.9167,114.0833,66.76,38,16,19.46,1627441377,RU
ilulissat,69.2167,-51.1,53.62,62,100,9.22,1627441391,GL
imuris,30.7833,-110.8667,73.89,77,10,17.09,1627441613,MX
male,4.1748,73.5089,82.06,76,99,12.01,1627441614,MV
mahebourg,-20.4081,57.7,68.29,94,75,14.97,1627441575,MU
lorengau,-2.0226,147.2712,84.58,72,5,6.29,1627441394,PG
andijon,40.7821,72.3442,85.28,19,4,5.68,1627441614,UZ
